0, 302, 0
1, 268, 1
2, 528, 1
3, 164, 2
4, 209, 3
5, 649, 5
6, 246, 8
7, 273, 13
8, 270, 21
9, 286, 34
10, 283, 55
11, 344, 89
12, 827, 144
13, 418, 233
14, 338, 377
15, 394, 610
16, 436, 987
17, 439, 1597
18, 406, 2584
19, 477, 4181
20, 419, 6765
21, 495, 10946
22, 390, 17711
23, 491, 28657
24, 495, 46368
25, 1269, 75025
26, 626, 121393
27, 637, 196418
28, 668, 317811
29, 500, 514229
30, 614, 832040
31, 705, 1346269
32, 677, 2178309
33, 725, 3524578
34, 613, 5702887
35, 744, 9227465
36, 718, 14930352
37, 727, 24157817
38, 599, 39088169
39, 766, 63245986
40, 590, 102334155
41, 702, 165580141
42, 698, 267914296
43, 764, 433494437
44, 661, 701408733
45, 765, 1134903170
46, 727, 1836311903
47, 766, 2971215073
48, 808, 4807526976
49, 833, 7778742049
50, 770, 12586269025
51, 785, 20365011074
52, 3811, 32951280099
53, 1904, 53316291173
54, 1751, 86267571272
55, 1830, 139583862445
56, 1834, 225851433717
57, 1905, 365435296162
58, 1804, 591286729879
59, 1737, 956722026041
60, 1809, 1548008755920
61, 1852, 2504730781961
62, 1752, 4052739537881
63, 1744, 6557470319842
64, 1684, 10610209857723
65, 1876, 17167680177565
66, 1773, 27777890035288
67, 1748, 44945570212853
68, 1725, 72723460248141
69, 1856, 117669030460994
70, 1913, 190392490709135
71, 1815, 308061521170129
72, 1936, 498454011879264
73, 1862, 806515533049393
74, 1924, 1304969544928657
75, 1785, 2111485077978050
76, 1991, 3416454622906707
77, 1972, 5527939700884757
78, 1925, 8944394323791464
79, 1956, 14472334024676221
80, 1838, 23416728348467685
81, 1858, 37889062373143906
82, 1969, 61305790721611591
83, 1923, 99194853094755497
84, 1959, 160500643816367088
85, 1887, 259695496911122585
86, 1994, 420196140727489673
87, 1864, 679891637638612258
88, 1949, 1100087778366101931
89, 1938, 1779979416004714189
90, 1973, 2880067194370816120
91, 1918, 4660046610375530309
92, 1903, 7540113804746346429
93, 2023, 12200160415121876738
94, 1971, 19740274219868223167
95, 1910, 31940434634990099905
96, 1917, 51680708854858323072
97, 1922, 83621143489848422977
98, 1957, 135301852344706746049
99, 1902, 218922995834555169026
100, 1949, 354224848179261915075
101, 1957, 573147844013817084101
102, 2006, 927372692193078999176
103, 1998, 1500520536206896083277
104, 2031, 2427893228399975082453
105, 1977, 3928413764606871165730
106, 4621, 6356306993006846248183
107, 2963, 10284720757613717413913
108, 3007, 16641027750620563662096
109, 2919, 26925748508234281076009
110, 2948, 43566776258854844738105
111, 2906, 70492524767089125814114
112, 2942, 114059301025943970552219
113, 2919, 184551825793033096366333
114, 3050, 298611126818977066918552
115, 2858, 483162952612010163284885
116, 2908, 781774079430987230203437
117, 3084, 1264937032042997393488322
118, 3040, 2046711111473984623691759
119, 2936, 3311648143516982017180081
120, 2929, 5358359254990966640871840
121, 3026, 8670007398507948658051921
122, 3048, 14028366653498915298923761
123, 2874, 22698374052006863956975682
124, 2843, 36726740705505779255899443
125, 3148, 59425114757512643212875125
126, 2989, 96151855463018422468774568
127, 2955, 155576970220531065681649693
128, 2951, 251728825683549488150424261
129, 2964, 407305795904080553832073954
130, 2987, 659034621587630041982498215
131, 3263, 1066340417491710595814572169
132, 2983, 1725375039079340637797070384
133, 3049, 2791715456571051233611642553
134, 3007, 4517090495650391871408712937
135, 3033, 7308805952221443105020355490
136, 3033, 11825896447871834976429068427
137, 3033, 19134702400093278081449423917
138, 2937, 30960598847965113057878492344
139, 3036, 50095301248058391139327916261
140, 3126, 81055900096023504197206408605
141, 3131, 131151201344081895336534324866
142, 2960, 212207101440105399533740733471
143, 2908, 343358302784187294870275058337
144, 3038, 555565404224292694404015791808
145, 3412, 898923707008479989274290850145
146, 3092, 1454489111232772683678306641953
147, 3074, 2353412818241252672952597492098
148, 3104, 3807901929474025356630904134051
149, 3145, 6161314747715278029583501626149
150, 3000, 9969216677189303386214405760200
151, 3134, 16130531424904581415797907386349
152, 3192, 26099748102093884802012313146549
153, 2930, 42230279526998466217810220532898
154, 3181, 68330027629092351019822533679447
155, 3101, 110560307156090817237632754212345
156, 3031, 178890334785183168257455287891792
157, 3272, 289450641941273985495088042104137
158, 3127, 468340976726457153752543329995929
159, 3112, 757791618667731139247631372100066
160, 3210, 1226132595394188293000174702095995
161, 2974, 1983924214061919432247806074196061
162, 3248, 3210056809456107725247980776292056
163, 3205, 5193981023518027157495786850488117
164, 3096, 8404037832974134882743767626780173
165, 3172, 13598018856492162040239554477268290
166, 3029, 22002056689466296922983322104048463
167, 3211, 35600075545958458963222876581316753
168, 3054, 57602132235424755886206198685365216
169, 3086, 93202207781383214849429075266681969
170, 3250, 150804340016807970735635273952047185
171, 3111, 244006547798191185585064349218729154
172, 3099, 394810887814999156320699623170776339
173, 3376, 638817435613190341905763972389505493
174, 3116, 1033628323428189498226463595560281832
175, 3172, 1672445759041379840132227567949787325
176, 3149, 2706074082469569338358691163510069157
177, 3220, 4378519841510949178490918731459856482
178, 3209, 7084593923980518516849609894969925639
179, 3187, 11463113765491467695340528626429782121
180, 3190, 18547707689471986212190138521399707760
181, 3041, 30010821454963453907530667147829489881
182, 3237, 48558529144435440119720805669229197641
183, 3088, 78569350599398894027251472817058687522
184, 3262, 127127879743834334146972278486287885163
185, 3257, 205697230343233228174223751303346572685
186, 3217, 332825110087067562321196029789634457848
187, 3293, 198239973509362327032045173661212819077
188, 3328, 190782716675491425889866596019079065469
189, 3402, 48740323263915289458537162248523673090
190, 3240, 239523039939406715348403758267602738559
191, 3204, 288263363203322004806940920516126411649
192, 3442, 187504036221790256691970071351960938752
193, 3200, 135485032504173798035536384436319138945
194, 3310, 322989068725964054727506455788280077697
195, 3148, 118191734309199389299668232792831005186
196, 3317, 100898436114224980563800081149342871427
197, 3230, 219090170423424369863468313942173876613
198, 3377, 319988606537649350427268395091516748040
199, 3581, 198796410040135256827362101601922413197
200, 3272, 178502649656846143791255889261670949781

